"ann"
"PSAC"	"Encodes the PsaC subunit of photosystem I."
"ATECI3..ECI3..HCD1"	"encodes a cytosolic delta3, delta2-enoyl CoA isomerase, involved in unsaturated fatty acid degradation, encodes a cytosolic delta3, delta2-enoyl CoA isomerase, involved in unsaturated fatty acid degradation, encodes a cytosolic delta3, delta2-enoyl CoA isomerase, involved in unsaturated fatty acid degradation"
"FD.GOGAT..GLS1..GLU1..GLUS"	"Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation., Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation., Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation., Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation."
"NAMT1"	"A member of the Arabidopsis SABATH methyltransferase gene family.  Encodes NAMT1, a methyltransferase that methylates nicotinic acid."
"ATSUS6..SUS6"	"Encodes a protein with sucrose synthase activity (SUS6)., Encodes a protein with sucrose synthase activity (SUS6)."
"ATMYB54..MYB54"	"Encodes a putative transcription factor that is a member of the  R2R3-MYB  family., Encodes a putative transcription factor that is a member of the  R2R3-MYB  family."
"ATDR4..DR4"	"encodes a plant-specific protease inhibitor-like protein whose transcript level in root disappears in response to progressive drought stress. The decrease in transcript level is independent from abscisic acid level., encodes a plant-specific protease inhibitor-like protein whose transcript level in root disappears in response to progressive drought stress. The decrease in transcript level is independent from abscisic acid level."
"AT.HSFB4..HSFB4..SCZ"	"Encodes SCHIZORIZA, a member of Heat Shock Transcription Factor (Hsf) family. Functions as a nuclear factor regulating asymmetry of stem cell divisions., Encodes SCHIZORIZA, a member of Heat Shock Transcription Factor (Hsf) family. Functions as a nuclear factor regulating asymmetry of stem cell divisions., Encodes SCHIZORIZA, a member of Heat Shock Transcription Factor (Hsf) family. Functions as a nuclear factor regulating asymmetry of stem cell divisions."
"LAC14"	"putative laccase, a member of laccase family of genes (17 members in Arabidopsis)."
"ATROPGEF10..GEF10..ROPGEF10"	"Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily., Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily., Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily."
"ACL5"	"Encodes a spermine synthase.  Required for internode elongation and vascular development, specifically in the mechanism that defines the boundaries between veins and nonvein regions.   This mechanism may be mediated by polar auxin transport.  Though ACL5 has been shown to function as a spermine  synthase in E. coli, an ACL5 knockout has no effect on the endogenous levels of free and conjugated polyamines in Arabidopsis, suggesting that ACL5 may have a very specific or altogether different in vivo function."
"RAP2.11"	"encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family (RAP2.11). The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11."
"PI"	"Floral homeotic gene encoding a MADS domain transcription factor. Required for the specification of petal and stamen identities."
"AAP3..ATAAP3"	"Amino acid permease which transports basic amino acids., Amino acid permease which transports basic amino acids."
"AtRGL3..RGL3"	"DELLA subfamily member involved in GA signal transduction, DELLA subfamily member involved in GA signal transduction"
"AtMYB9..MYB9"	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"COBL4..IRX6"	"Encodes a member of the COBRA family, similar to phytochelatin synthetase. Involved in secondary cell wall biosynthesis. Mutants make smaller plants with reduced levels of cellulose and cell wall sugars., Encodes a member of the COBRA family, similar to phytochelatin synthetase. Involved in secondary cell wall biosynthesis. Mutants make smaller plants with reduced levels of cellulose and cell wall sugars."
"GLIP7"	"Contains lipase signature motif and GDSL domain."
"TBL19"	"Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication)."
"BETA..CA18..CA2"	"Encodes a beta carbonic anhydrase likely to be localized in the cytoplasm.  Expression of its mRNA is seen in etiolated seedlings and points to a possible nonphotosynthetic role for this isoform., Encodes a beta carbonic anhydrase likely to be localized in the cytoplasm.  Expression of its mRNA is seen in etiolated seedlings and points to a possible nonphotosynthetic role for this isoform., Encodes a beta carbonic anhydrase likely to be localized in the cytoplasm.  Expression of its mRNA is seen in etiolated seedlings and points to a possible nonphotosynthetic role for this isoform."
"PRK1"	"Encodes a member of the receptor-like kinase family of genes. In pollen tubes, it accumulates in the plasma membrane of the apical growing tip through the process of exocytosis."
"WNK9"	"Encodes a member of the WNK family (9 members in all) of protein kinases, the structural design of which is clearly distinct from those of other known protein kinases, such as receptor-like kinases and mitogen-activated protein kinases."
"GATA23"	"Encodes a member of the GATA factor family of zinc finger transcription factors."
"ATK4..KATD"	"Encodes a kinesin-like protein that binds microtubules in an ATP-dependent manner., Encodes a kinesin-like protein that binds microtubules in an ATP-dependent manner."
"UGT72E3"	"UGT72E3 is an UDPG:coniferyl alcohol glucosyltransferase which glucosylates sinapyl- and coniferyl alcohol as well as sinapic acid. The enzyme is thought to be involved in lignin- and phenylpropanoid metabolism. A knockdown mutant line (72E3KD) was obtained using RNAi silencing. No reduction in coniferyl alcohol 4-<i>O</i>-glucoside and sinapyl alcohol 4-<i>O</i>-glucoside was detected in this line compared to wildtype, in contrast with the knockdown line constructed for UGT72E2 displayed a twofold reduction in the these phenylpropanoid 4-<i>O</i>-glucosides."
"AtRLP52..RLP52"	"putative disease resistance protein induced by chitin oligomers., putative disease resistance protein induced by chitin oligomers."
"ZFP3"	"Encodes a zinc finger protein containing only a single zinc finger."
"CYP71B13"	"putative cytochrome P450"
"ATFPF1..FPF1"	"encodes a small protein of 12.6 kDa that regulates flowering and is involved in gibberellin signalling pathway. It is expressed in apical meristems immediately after the photoperiodic induction of flowering. Genetic interactions with flowering time and floral organ identity genes suggest that this gene may be involved in modulating the competence to flower. There are two other genes similar to FPF1, FLP1 (At4g31380) and FLP2 (no locus name yet, on BAC F8F16 on chr 4). This is so far a plant-specific gene and is only found in long-day mustard, arabidopsis, and rice., encodes a small protein of 12.6 kDa that regulates flowering and is involved in gibberellin signalling pathway. It is expressed in apical meristems immediately after the photoperiodic induction of flowering. Genetic interactions with flowering time and floral organ identity genes suggest that this gene may be involved in modulating the competence to flower. There are two other genes similar to FPF1, FLP1 (At4g31380) and FLP2 (no locus name yet, on BAC F8F16 on chr 4). This is so far a plant-specific gene and is only found in long-day mustard, arabidopsis, and rice."
"CYP714A2..ELA2"	"member of CYP714A, member of CYP714A"
"CYP714A1..ELA1"	"member of CYP714A, member of CYP714A"
"MSP.1..OE33..OEE1..OEE33..PSBO.1..PSBO1"	"Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO1 is the major isoform in the wild-type., Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO1 is the major isoform in the wild-type., Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO1 is the major isoform in the wild-type., Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO1 is the major isoform in the wild-type., Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO1 is the major isoform in the wild-type., Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO1 is the major isoform in the wild-type."
"ANAC105..NAC105..VND3"	"Encodes a NAC-domain transcription factor. Expressed in the vascular tissue., Encodes a NAC-domain transcription factor. Expressed in the vascular tissue., Encodes a NAC-domain transcription factor. Expressed in the vascular tissue."
"ATSAC1B..ATSAC6..IBS2..SACIB"	"Mutants in this gene are unable to express female sterility in response to beta-aminobutyric acid, as wild type plants do.  non-consensus AT donor splice site at exon 7, TA donor splice site at exon 10, AT acceptor splice at exon 13., Mutants in this gene are unable to express female sterility in response to beta-aminobutyric acid, as wild type plants do.  non-consensus AT donor splice site at exon 7, TA donor splice site at exon 10, AT acceptor splice at exon 13., Mutants in this gene are unable to express female sterility in response to beta-aminobutyric acid, as wild type plants do.  non-consensus AT donor splice site at exon 7, TA donor splice site at exon 10, AT acceptor splice at exon 13., Mutants in this gene are unable to express female sterility in response to beta-aminobutyric acid, as wild type plants do.  non-consensus AT donor splice site at exon 7, TA donor splice site at exon 10, AT acceptor splice at exon 13."
"ACS5..ATACS5..CIN5..ETO2"	"1-aminocyclopropane-1-carboxylate synthase (ACS) is encoded by a multigene family consisting of at least five members whose expression is induced by hormones, developmental signals, and protein synthesis inhibition., 1-aminocyclopropane-1-carboxylate synthase (ACS) is encoded by a multigene family consisting of at least five members whose expression is induced by hormones, developmental signals, and protein synthesis inhibition., 1-aminocyclopropane-1-carboxylate synthase (ACS) is encoded by a multigene family consisting of at least five members whose expression is induced by hormones, developmental signals, and protein synthesis inhibition., 1-aminocyclopropane-1-carboxylate synthase (ACS) is encoded by a multigene family consisting of at least five members whose expression is induced by hormones, developmental signals, and protein synthesis inhibition."
"ATMYB68..MYB68"	"Encodes a putative MYB transcription factor., Encodes a putative MYB transcription factor."
"AtMYB53..MYB53"	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"ATBXL4..XYL4"	"Encodes a beta-d-xylosidase that belongs to family 3 of glycoside hydrolases., Encodes a beta-d-xylosidase that belongs to family 3 of glycoside hydrolases."
"AAP4"	"Amino acid transporter whose expression is downregulated by dehydration."
"PSAN"	"Encodes the only subunit of photosystem I located entirely in the thylakoid lumen. May be involved in the interaction between plastocyanin and the photosystem I complex."
"ARR6"	"Encodes a Type-A response regulator that is responsive to cytokinin treatment.  Its C-ter domain is very short in comparison to other Arabidopsis ARRs (17 total). Arr6 protein is stabilized by cytokinin."
"ATHVA22B..HVA22B"	"Part of the AtHVA22 family. Protein expression is ABA- and stress-inducible., Part of the AtHVA22 family. Protein expression is ABA- and stress-inducible."
"ATBAG2..BAG2"	"A member of Arabidopsis BAG (Bcl-2-associated athanogene) proteins, plant homologs of mammalian regulators of apoptosis. Plant BAG proteins are multi-functional and remarkably similar to their animal counterparts, as they regulate apoptotic-like processes ranging from pathogen attack, to abiotic stress, to plant development., A member of Arabidopsis BAG (Bcl-2-associated athanogene) proteins, plant homologs of mammalian regulators of apoptosis. Plant BAG proteins are multi-functional and remarkably similar to their animal counterparts, as they regulate apoptotic-like processes ranging from pathogen attack, to abiotic stress, to plant development."
"AGL42..FYF"	"Encodes a MADS box transcription factor. Expressed in quiescent center., Encodes a MADS box transcription factor. Expressed in quiescent center."
"CYCP4..CYCP4.2"	"The P-type cyclins (CYCPs) share a conserved central region of 100 amino acids ('cyclin box') displaying homology to the corresponding region of the PHO80 cyclin from Saccharomyces cerevisiae and the related G1 cyclins from Trypanosoma cruzi and T. brucei., The P-type cyclins (CYCPs) share a conserved central region of 100 amino acids ('cyclin box') displaying homology to the corresponding region of the PHO80 cyclin from Saccharomyces cerevisiae and the related G1 cyclins from Trypanosoma cruzi and T. brucei."
"ATMYB34..ATR1..MYB34"	"Myb-like transcription factor that modulates expression of ASA1, a key point of control in the tryptophan pathway; mutant has deregulated expression of ASA1 in dominant allele. Loss of function allele suggests ATR1 also functions at a control point for regulating indole glucosinolate homeostasis., Myb-like transcription factor that modulates expression of ASA1, a key point of control in the tryptophan pathway; mutant has deregulated expression of ASA1 in dominant allele. Loss of function allele suggests ATR1 also functions at a control point for regulating indole glucosinolate homeostasis., Myb-like transcription factor that modulates expression of ASA1, a key point of control in the tryptophan pathway; mutant has deregulated expression of ASA1 in dominant allele. Loss of function allele suggests ATR1 also functions at a control point for regulating indole glucosinolate homeostasis."
"TMO6"	"Encodes a Dof-type transcription factor."
"ARF4"	"Encodes a member of the ARF family of transcription factors which mediate auxin responses. ARF4 appears to have redundant function with ETT(ARF3) in specifying abaxial cell identity."
"ATLAC17..LAC17"	"putative laccase,  a member of laccase family of genes (17 members in Arabidopsis)., putative laccase,  a member of laccase family of genes (17 members in Arabidopsis)."
"ATMYB59..ATMYB59.1..ATMYB59.2..ATMYB59.3..MYB59"	"Encodes a putative transcription factor (MYB59)., Encodes a putative transcription factor (MYB59)., Encodes a putative transcription factor (MYB59)., Encodes a putative transcription factor (MYB59)., Encodes a putative transcription factor (MYB59)."
"LTP3"	"Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the lipid transfer protein (PR-14) family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15."
"LTP4"	"Encodes a member of the lipid transfer protein family. Proteins of this family are generally small (~9 kD), basic, expressed abundantly and contain eight Cys residues. The proteins can bind fatty acids and acylCoA esters and can transfer several different phospholipids. They are localized to the cell wall. The mRNA is present in flowers and siliques, and is strongly up-regulated by abscisic acid. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15."
"CYP86..CYP86A1..HORST"	"Encodes a member of the CYP86A subfamily of cytochrome p450 genes.  Expressed significantly only in root tissue., Encodes a member of the CYP86A subfamily of cytochrome p450 genes.  Expressed significantly only in root tissue., Encodes a member of the CYP86A subfamily of cytochrome p450 genes.  Expressed significantly only in root tissue."
"LAC16"	"putative laccase,  a member of laccase family of genes (17 members in Arabidopsis)."
"AtMYB36..MYB36"	"Encodes a putative transcription factor (MYB36)., Encodes a putative transcription factor (MYB36)."
"TET15"	"Member of TETRASPANIN family"
"AtXTH13..XTH13"	"Encodes a xyloglucan endotransglucosylase/hydrolase with only only the endotransglucosylase (XET; EC   2.4.1.207) activity towards xyloglucan and non-detectable endohydrolytic (XEH; EC 3.2.1.151) activity., Encodes a xyloglucan endotransglucosylase/hydrolase with only only the endotransglucosylase (XET; EC   2.4.1.207) activity towards xyloglucan and non-detectable endohydrolytic (XEH; EC 3.2.1.151) activity."
"PFN3..PRF3"	"Encodes profilin3, a low-molecular weight, actin monomer-binding protein that regulates the organization of actin cytoskeleton. Originally known as profilin5, and later named profilin3. Expressed in vegetative organs., Encodes profilin3, a low-molecular weight, actin monomer-binding protein that regulates the organization of actin cytoskeleton. Originally known as profilin5, and later named profilin3. Expressed in vegetative organs."
"GAMT2"	"A member of the Arabidopsis SABATH methyltransferase gene family.  Encodes GAMT2, a methyltransferase that uses S-adenosine-L-methionine (SAM) as a methyl donor to methylate the carboxyl group of GAs, resulting in the methyl esters of GAs (MeGAs).  Expressed most highly in the siliques during seed development."
"CRR21"	"Encodes a member of the E+ subgroup of the PPR protein family, containing the E and E+ motifs following a tandem array of PPR motifs.  It also contains an unknown motif consisting of 15 aa, which is highly conserved in some PPR proteins, including CRR4.  CRR21 is involved in RNA editing of the site 2 of ndhD (ndhD-2),which encodes a subunit of the NDH complex.  The RNA editing changes aa 128 from Ser to Leu.  Mutants have impaired NDH complex activity."
"AtIAMT1..IAMT1"	"Encodes an enzyme which specifically converts IAA to its methyl ester form MelIAA. This gene belongs to the family of carboxyl methyltransferases whose members  catalyze the transfer of the methyl group from S-adenosyl-L-methionine to carboxylic acid-containing substrates to form small molecule methyl esters. Expression of TCP genes is downregulated in mutant iamt1-D., Encodes an enzyme which specifically converts IAA to its methyl ester form MelIAA. This gene belongs to the family of carboxyl methyltransferases whose members  catalyze the transfer of the methyl group from S-adenosyl-L-methionine to carboxylic acid-containing substrates to form small molecule methyl esters. Expression of TCP genes is downregulated in mutant iamt1-D."
"THI1..THI4..TZ"	"Encodes a thiamine biosynthetic gene that has a dual function in thiamine biosynthesis and mitochondrial DNA damage tolerance. It appears to be involved in producing the thiazole portion of thiamine (vitamin B1). A crystal structure of the protein reveals that it forms a 2-ring homo-octamer., Encodes a thiamine biosynthetic gene that has a dual function in thiamine biosynthesis and mitochondrial DNA damage tolerance. It appears to be involved in producing the thiazole portion of thiamine (vitamin B1). A crystal structure of the protein reveals that it forms a 2-ring homo-octamer., Encodes a thiamine biosynthetic gene that has a dual function in thiamine biosynthesis and mitochondrial DNA damage tolerance. It appears to be involved in producing the thiazole portion of thiamine (vitamin B1). A crystal structure of the protein reveals that it forms a 2-ring homo-octamer."
"LHCB3..LHCB3.1"	"Lhcb3 protein is a component of the main light harvesting chlorophyll a/b-protein complex of Photosystem II (LHC II)., Lhcb3 protein is a component of the main light harvesting chlorophyll a/b-protein complex of Photosystem II (LHC II)."
"AtMYB49..MYB49"	"Encodes a putative transcription factor (MYB49)., Encodes a putative transcription factor (MYB49)."
"ATHB52..HB52"	"Encodes a homeodomain leucine zipper class I (HD-Zip I) protein., Encodes a homeodomain leucine zipper class I (HD-Zip I) protein."
"AtMYB19..MYB19"	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"CYP96A4"	"member of CYP96A"
"HDG7"	"Encodes a homeobox-leucine zipper family protein belonging to the HD-ZIP IV family."
"AT2353..ATGA20OX2..GA20OX2"	"Encodes gibberellin 20-oxidase. Involved in gibberellin biosynthesis. Up-regulated by far red light in elongating petioles. Not regulated by a circadian clock., Encodes gibberellin 20-oxidase. Involved in gibberellin biosynthesis. Up-regulated by far red light in elongating petioles. Not regulated by a circadian clock., Encodes gibberellin 20-oxidase. Involved in gibberellin biosynthesis. Up-regulated by far red light in elongating petioles. Not regulated by a circadian clock."
"AtMYB78..MYB78"	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"KCS21"	"Encodes KCS21, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids)."
"FLS2"	"Encodes a leucine-rich repeat serine/threonine protein kinase that is expressed ubiquitously. FLS2 is involved in MAP kinase signalling relay involved in innate immunity. Essential in the perception of flagellin, a potent elicitor of the defense response.  FLS2 is directed for degradation by the bacterial ubiquitin ligase AvrPtoB."
"ARAC2..ATRAC2..ATROP7..RAC2..ROP7"	"Encodes a Rac-like protein ARAC2.  A member of ROP GTPase gene family., Encodes a Rac-like protein ARAC2.  A member of ROP GTPase gene family., Encodes a Rac-like protein ARAC2.  A member of ROP GTPase gene family., Encodes a Rac-like protein ARAC2.  A member of ROP GTPase gene family., Encodes a Rac-like protein ARAC2.  A member of ROP GTPase gene family."
"AtNPF5.2..ATPTR3..NPF5.2..PTR3"	"Encodes a di- and tri-peptide transporter involved in responses to wounding, virulent bacterial pathogens, and high NaCl concentrations. The protein is predicted to have 12 transmembrane helicies., Encodes a di- and tri-peptide transporter involved in responses to wounding, virulent bacterial pathogens, and high NaCl concentrations. The protein is predicted to have 12 transmembrane helicies., Encodes a di- and tri-peptide transporter involved in responses to wounding, virulent bacterial pathogens, and high NaCl concentrations. The protein is predicted to have 12 transmembrane helicies., Encodes a di- and tri-peptide transporter involved in responses to wounding, virulent bacterial pathogens, and high NaCl concentrations. The protein is predicted to have 12 transmembrane helicies."
"EDA23..GSO2"	"Encodes GASSHO2 (GSO2), a putative leucine-rich repeat transmembrane-type receptor kinase.  GSO2 and a homolog GSO1 (At4g20140) are required for the formation of a normal epidermal surface during embryogenesis., Encodes GASSHO2 (GSO2), a putative leucine-rich repeat transmembrane-type receptor kinase.  GSO2 and a homolog GSO1 (At4g20140) are required for the formation of a normal epidermal surface during embryogenesis."
"ATCLH2..CLH2"	"Encodes a chlorophyllase, the first enzyme in chlorophyll degradation. It catalyzes the hydrolysis of the ester bond to chlorophyllide and phytol. AtCLH2 has a typical signal sequence for the chloroplast. Gene expression does not respond to methyljasmonate, a known promoter of senescence and chlorophyll degradation., Encodes a chlorophyllase, the first enzyme in chlorophyll degradation. It catalyzes the hydrolysis of the ester bond to chlorophyllide and phytol. AtCLH2 has a typical signal sequence for the chloroplast. Gene expression does not respond to methyljasmonate, a known promoter of senescence and chlorophyll degradation."
"AGO10..PNH..ZLL"	"Encodes a member of the EIF2C (elongation initiation factor 2c)/  Argonaute class of proteins. Required to establish the central-peripheral organization of the embryo apex. Along with WUS and CLV genes, controls the relative organization of central zone and peripheral zone cells in meristems. Acts in embryonic provascular tissue potentiating WUSCHEL function during meristem development in the embryo., Encodes a member of the EIF2C (elongation initiation factor 2c)/  Argonaute class of proteins. Required to establish the central-peripheral organization of the embryo apex. Along with WUS and CLV genes, controls the relative organization of central zone and peripheral zone cells in meristems. Acts in embryonic provascular tissue potentiating WUSCHEL function during meristem development in the embryo., Encodes a member of the EIF2C (elongation initiation factor 2c)/  Argonaute class of proteins. Required to establish the central-peripheral organization of the embryo apex. Along with WUS and CLV genes, controls the relative organization of central zone and peripheral zone cells in meristems. Acts in embryonic provascular tissue potentiating WUSCHEL function during meristem development in the embryo."
"BKI1"	"Encodes a plasma-membrane associated phosphoprotein that interacts directly with the kinase domain of BRI1.  It interferes with the interaction between BRI1 with its signalling partner, the plasma membrane localised LRR-receptor kinase BAK1."
"MRN1"	"Encodes an oxidosqualene synthase that produces the monocyclic triterpene marneral."
"ASFT..HHT..RWP1"	"Encodes a feruloyl-CoA transferase required for suberin synthesis. Has feruloyl-CoA-dependent feruloyl transferase activity towards substrates with a primary alcohol., Encodes a feruloyl-CoA transferase required for suberin synthesis. Has feruloyl-CoA-dependent feruloyl transferase activity towards substrates with a primary alcohol., Encodes a feruloyl-CoA transferase required for suberin synthesis. Has feruloyl-CoA-dependent feruloyl transferase activity towards substrates with a primary alcohol."
"BEL1"	"Homeodomain protein required for ovule identity.Loss of function mutations show homeotic conversion of integuments to carpels.Forms heterodimers with STM and KNAT1. Interacts with AG-SEP heterodimers is thought to restrict WUS expression. BEL interacts with MADS box dimers composed of SEP1(or SEP3) and AG, SHP1, SHP2 and STK. The interaction of BEL1 with AG-SEP3 is required for proper integument development and specification of integument identity."
"GLIP1"	"Component of plant resistance.  Contains lipase signature motif and GDSL domain.  Directly interferes with the fungal infection process by acting on fungal cell walls through its action as a antimicrobial compound.  Critical component for both local and systemic resistance responses in the incompatible interaction with Alternaria brassicicola in the ethylene-dependent pathway."
"ATBR6OX..BR6OX..BR6OX1..CYP85A1"	"Encodes a polypeptide involved in the C-6 oxidation of brassinosteroids. Heterologous expression of the protein in yeast conferred the ability to catalyze multiple reactions in which the C-6 position of 6-deoxocastasterone, 6-deoxotyphasterol, 3-dehydro-6-deoxoteasterone and 6-deoxoteasterone are oxidized., Encodes a polypeptide involved in the C-6 oxidation of brassinosteroids. Heterologous expression of the protein in yeast conferred the ability to catalyze multiple reactions in which the C-6 position of 6-deoxocastasterone, 6-deoxotyphasterol, 3-dehydro-6-deoxoteasterone and 6-deoxoteasterone are oxidized., Encodes a polypeptide involved in the C-6 oxidation of brassinosteroids. Heterologous expression of the protein in yeast conferred the ability to catalyze multiple reactions in which the C-6 position of 6-deoxocastasterone, 6-deoxotyphasterol, 3-dehydro-6-deoxoteasterone and 6-deoxoteasterone are oxidized., Encodes a polypeptide involved in the C-6 oxidation of brassinosteroids. Heterologous expression of the protein in yeast conferred the ability to catalyze multiple reactions in which the C-6 position of 6-deoxocastasterone, 6-deoxotyphasterol, 3-dehydro-6-deoxoteasterone and 6-deoxoteasterone are oxidized."
"GLP6"	"germin-like protein (GLP6)"
"CYP716A2"	"member of CYP716A"
